N	Domain	Organism	Pathogenicity	Respiration	Environment	Mycotoxin	Removal mechanism	Enzymatic?	Location	Characterization context	Characterization assay	Source	Link	Additional information	Contributor	Contribution date	Curator(s)	Curation date	Curation notes
1	Bacteria	Acinetobacter calcoaceticus	Opportunistic	Aerobic	Human;Soil	Ochratoxin	Biotransformation	Yes	Unknown	NULL	NULL	Hwang CA, Draughon FA. Degradation of Ochratoxin A by Acinetobacter calcoaceticus. J Food Prot. 1994 May;57(5):410-414. doi: 10.4315/0362-028X-57.5.410. PMID: 31121738.	https://doi.org/10.4315/0362-028x-57.5.410	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
2	Bacteria	Alcaligenes faecalis	Non-Pathogenic	Aerobic	Human;Soil;Water	Ochratoxin	Biotransformation	Yes	Unknown	NULL	NULL	Zhang HH, Wang Y, Zhao C, Wang J, Zhang XL. Biodegradation of ochratoxin A by Alcaligenes faecalis isolated from soil. J Appl Microbiol. 2017 Sep;123(3):661-668. doi: 10.1111/jam.13537. PMID: 28708280.	https://doi.org/10.1111/jam.13537	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
3	Bacteria	Alcaligenes faecalis	Non-Pathogenic	Aerobic	Human;Soil;Water	Zearalenone	Biotransformation	Yes	Unknown	NULL	NULL	Zhang HH, Wang Y, Zhao C, Wang J, Zhang XL. Biodegradation of ochratoxin A by Alcaligenes faecalis isolated from soil. J Appl Microbiol. 2017 Sep;123(3):661-668. doi: 10.1111/jam.13537. PMID: 28708280.	https://doi.org/10.1111/jam.13537	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
4	Bacteria	Bacillus amyloliquefaciens	Non-Pathogenic	Facultative	Soil	Ochratoxin	Biotransformation	Yes	Unknown	NULL	NULL	Chang X, Wu Z, Wu S, Dai Y, Sun C. Degradation of ochratoxin A by Bacillus amyloliquefaciens ASAG1. Food Addit Contam Part A Chem Anal Control Expo Risk Assess. 2015;32(4):564-71. doi: 10.1080/19440049.2014.991948. Epub 2014 Dec 17. PMID: 25517039.	https://doi.org/10.1080/19440049.2014.991948	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
5	Bacteria	Flavobacterium aurantiacum	Opportunistic	Aerobic	Soil;Water	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	chromatography (HPLC)	Smiley RD, Draughon FA. Preliminary evidence that degradation of aflatoxin B1 by Flavobacterium aurantiacum is enzymatic. J Food Prot. 2000 Mar;63(3):415-8. doi: 10.4315/0362-028x-63.3.415. PMID: 10716576.	https://doi.org/10.4315/0362-028X-63.3.415	NULL	Anna Akkara	2021-02-16	Judi Le	2021-03-08	Heat treatment of protein extract does not prove that degradation is due to an enzyme because other cellular components also heat labile; enzyme likely but not identified
6	Bacteria	Rhodococcus pyridinivorans	Non-Pathogenic	Aerobic	Water	Zearalenone	Biotransformation	Yes	Unknown	NULL	NULL	Kriszt R, Krifaton C, Szoboszlay S, Cserháti M, Kriszt B, Kukolya J, Czéh A, Fehér-Tóth S, Török L, Szőke Z, Kovács KJ, Barna T, Ferenczi S. A new zearalenone biodegradation strategy using non-pathogenic Rhodococcus pyridinivorans K408 strain. PLoS One. 2012;7(9):e43608. doi: 10.1371/journal.pone.0043608. Epub 2012 Sep 25. PMID: 23049739; PMCID: PMC3458049.	https://doi.org/10.1371/journal.pone.0043608	NULL	Judi Le	2021-02-16	Anna Akkara	2021-03-08	Characterization assay was through HPLC analysis. Bacterial enzymes showed 87% ZEA degradation efficiency
7	Bacteria	Myobacterium smegmatis	Non-Pathogenic	Aerobic	Plants;Soil;Water	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	TLC	Taylor MC, Jackson CJ, Tattersall DB, French N, Peat TS, Newman J, Briggs LJ, Lapalikar GV, Campbell PM, Scott C, Russell RJ, Oakeshott JG. Identification and characterization of two families of F420 H2-dependent reductases from Mycobacteria that catalyse aflatoxin degradation. Mol Microbiol. 2010 Nov;78(3):561-75. doi: 10.1111/j.1365-2958.2010.07356.x. Epub 2010 Sep 16. PMID: 20807200; PMCID: PMC3034190.	https://doi.org/10.1111/j.1365-2958.2010.07356.x	NULL	Anna Akkara	2021-02-16	Judi Le	2021-03-08	Nine enzymes were identified in the study; enzymes belong to F420H2 dependent reductase (FDR‐A and ‐B) families (enzymes that depend on F420H2 as a cofactor)
8	Eukarya	Saccharomyces sensu stricto	Non-Pathogenic	Facultative	Human;Soil	Ochratoxin A	Absorption	No	Intracellular	live culture	HPLC	Andrea Caridia, Fabio Galvanob, Alessio Tafurib, Alberto Ritienib	https://doi.org/10.1016/j.enzmictec.2006.07.002	NULL	Stephanie Li	2021-02-16	Theresa Fallon	2021-03-09	Saccharomyces sensu stricto are a series of different yeast strains, not just one specfic species. These different strains could have different natural environments.
9	Bacteria	Lactobacillus rhamnosus	Non-Pathogenic	Facultative	Human	Aflatoxin B1	Absorption	No	Unknown	live culture, in vivo	liquid chromotagraphy	HANI EL-NEZAMI ; HANNU MYKKÄNEN ; PASI KANKAANPÄÄ ; SEPPO SALMINEN ; JORMA AHOKAS	https://doi.org/10.4315/0362-028X-63.4.549	NULL	Stephanie Li	2021-02-16	Theresa Fallon	2021-03-09	The study was performed both in vivo and in vitro
10	Eukarya	Aspergillus species	Opportunistic	Aerobic	Plants;Soil	Ochratoxin A	Biotransformation	Yes	Extracellular	live culture	HPLC	Luís Abrunhosa, Rita Serra, and Armando Venâncio	https://doi.org/10.1021/jf025747i	NULL	Stephanie Li	2021-02-16	Theresa Fallon	2021-03-09	Specific Aspergillus species focused on are A. clavatus, A. ochraceus, A. versicolor, and A. wentii. Found in widespread environments, not just soil.
11	Bacteria	Stenotrophomonas maltophilia	Opportunistic	Aerobic	Animal;Food;Human;Plants;Soil;Water	Aflatoxin B1	Unknown	Yes	Intracellular	live culture	HPLC	Guan S, Ji C, Zhou T, Li J, Ma Q, Niu T. Aflatoxin B(1) degradation by Stenotrophomonas maltophilia and other microbes selected using coumarin medium. Int J Mol Sci. 2008 Aug;9(8):1489-503. doi: 10.3390/ijms9081489. Epub 2008 Aug 22. PMID: 19325817; PMCID: PMC2635738.	https://pubmed.ncbi.nlm.nih.gov/19325817/	first report that a bacterium in this genus has function in mycotoxin degradation	Theresa Fallon	2021-02-16	Stephanie Li	2021-03-08	Does degradation count as a form of biotransformation -- breakdown + transform target into unfunctionable state
12	Bacteria	Propionibacterium freudenreichii	Non-Pathogenic	Anaerobic	Human;Plants;Soil	Zearalenone	Adsorption	No	Unknown	live culture	HPLC	Gwiazdowska D, Czaczyk K, Filipiak M, Gwiazdowski R. Effects of Propionibacterium on the growth and mycotoxin production by some species of Fusarium and Alternaria. Pol J Microbiol. 2008;57(3):205-12. PMID: 19004241.	https://pubmed.ncbi.nlm.nih.gov/19004241/	NULL	Judi Le	2021-02-16	Anna Akkara	2021-03-08	Three experimental preparations of viable bacteria, cell free supernatant and bacterionin prep were analyzed in their ability to remove or decrease levels of mycotoxin. The strongest inhibition of growth and toxin production was observed in the presence of cultures containing viable cells and supernatants obtained from propionibacteria cultures.
